from,to,weight,season
Mainz,1,50,2021
Nuernberg,33,3,2019
Stuttgart2,42,0,2021
Arsenal,5,8,2020
Hannover,2,40,2020
Jubilo,37,1,2021
Zagreb,24,60,2018
Freiburg,15,13,2020
Anderlecht,23,18,2017
Truiden,3,17,2020
Holstein,16,8,2019
Juventus,32,15,2021
Chelsea,6,4,2019
Monaco,8,18,2021
Koeln,28,0,2019
Paris,14,80,2019
Bielefeld,30,25,2018
Augsburg,11,5,2017
Sandhausen,20,30,2019
Instituto,31,17,2019
StuttgartU19,25,0,2020
Fenerbahce,34,0,2021
Wolfsburg,10,0,2018
Paris_SG,7,0,2019
Paderborn,22,25,2021
Admira,9,18,2019
Sporting,18,5,2021
Wolfsburg,17,0,2021
Vejle,19,45,2021
StuttgartU19,50,0,2021
Stuttgart2,44,0,2021
Deutschland,1,0,
Deutschland,33,0,
Deutschland,42,0,
Griechenland,5,0,
Deutschland,2,0,
Usbekistan,2,0,
Japan,37,0,
Kroatien,24,0,
Deutschland,24,0,
Deutschland,15,0,
Belgien,23,0,
DR_Kongo,23,0,
Japan,3,0,
Deutschland,16,0,
Frankreich,32,0,
Komoren,32,0,
England,6,0,
DR_Kongo,6,0,
Frankreich,8,0,
Martinique,8,0,
Daenemark,28,0,
Ghana,28,0,
DR_Kongo,14,0,
Deutschland,30,0,
Italien,30,0,
Deutschland,11,0,
Deutschland,20,0,
Deutschland,31,0,
Argentinien,31,0,
Deutschland,25,0,
Tuerkei,34,0,
Deutschland,10,0,
Benin,10,0,
Frankreich,7,0,
Elfenbeinkueste,7,0,
Deutschland,22,0,
Oesterreich,9,0,
Serbien,9,0,
Portugal,18,0,
Aegypten,17,0,
Kanada,17,0,
Daenemark,19,0,
Afghanistan,19,0,
Frankreich,50,0,
Kamerun,50,0,
Niederlande,44,0,
Sierra_Leone,44,0,
